# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 15 18:11:40 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
23,WASP-12 b,4.50000,,,,,,,,,,0.11773,0.00183,-0.00183,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
24,HAT-P-1 b,1.12690,,,,,,,,,,0.11656,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
25,HAT-P-1 b,1.14610,,,,,,,,,,0.11632,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
26,HAT-P-1 b,1.16530,,,,,,,,,,0.11643,0.00073,-0.00073,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
27,HAT-P-1 b,1.18450,,,,,,,,,,0.11493,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
28,HAT-P-1 b,1.20370,,,,,,,,,,0.11640,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
29,HAT-P-1 b,1.22290,,,,,,,,,,0.11715,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
30,HAT-P-1 b,1.24210,,,,,,,,,,0.11656,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
31,HAT-P-1 b,1.26130,,,,,,,,,,0.11528,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
32,HAT-P-1 b,1.28050,,,,,,,,,,0.11639,0.00064,-0.00064,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
33,HAT-P-1 b,1.29970,,,,,,,,,,0.11519,0.00055,-0.00055,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
34,HAT-P-1 b,1.31890,,,,,,,,,,0.11651,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
35,HAT-P-1 b,1.33810,,,,,,,,,,0.11744,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
36,HAT-P-1 b,1.35730,,,,,,,,,,0.11656,0.00054,-0.00054,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
37,HAT-P-1 b,1.37650,,,,,,,,,,0.11726,0.00060,-0.00060,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
